"Di"	"SName"	"monoculture"	"sd"	"mean"	"CV"	"TS"	"Id"	"monoculture_relative"	"site"	"persists"
4.13823208797057	"UGla"	0.009005	0.0112376868373587	0.00818636363636364	1.3727324287723	0.728474085000196	12	0.000168135378835428	"Huttwil"	FALSE
4.10423678579605	"TPla"	2.776791	0.110516307879302	2.77455545454545	0.0398320774948821	25.1053940163801	13	0.051846397193982	"Huttwil"	TRUE
4.08238233777311	"AGlu"	2.423774	0.0661581241901826	2.42378818181818	0.0272953406929127	36.636289367132	14	0.0452550982455815	"Huttwil"	TRUE
4.08073778979974	"QPub"	1.219826	0.0670581414079671	1.21155090909091	0.0553490083700109	18.0671710198483	15	0.0227757808576686	"Huttwil"	TRUE
4.02463010421773	"SAri"	0.042451	0.00150590353427617	0.0423363636363636	0.0355699782629114	28.113596039014	16	0.000792616875840397	"Huttwil"	FALSE
3.96304498896519	"PTre"	3.043764	0.106359279716526	3.06001727272727	0.0347577383515002	28.7705716029949	17	0.0568311397252237	"Huttwil"	TRUE
3.96011541644128	"APla"	3.453466	0.0874181998005199	3.44809181818182	0.0253526310812151	39.4436378929106	18	0.0644808233431729	"Huttwil"	TRUE
3.91611390270515	"TCor"	3.480593	0.256895469318483	3.48550181818182	0.0737040124261046	13.5677823646656	19	0.0649873206692882	"Huttwil"	TRUE
3.90985874801175	"SAlb"	2.595117	0.0568508025049299	2.59621636363636	0.0218975595798581	45.6671893666097	20	0.0484543009347319	"Huttwil"	TRUE
3.86628219362894	"QPet"	1.962895	0.137615317989876	1.95775363636364	0.0702924593951895	14.2262770232284	21	0.0366498716756433	"Huttwil"	TRUE
3.86108071747658	"CAve"	1.824186	0.124943543978143	1.81206272727273	0.0689510037912381	14.5030520951904	22	0.0340599893588323	"Huttwil"	TRUE
3.8505448569429	"SAuc"	1.664826	0.151515579006973	1.65622727272727	0.0914823596386475	10.9310691585784	23	0.0310845252865154	"Huttwil"	TRUE
3.84390347447605	"FSyl"	4.543384	0.345677844860316	4.55144545454545	0.075949025054248	13.1667259623903	24	0.0848310483103636	"Huttwil"	TRUE
3.70032665350851	"ACam"	0.770211	0.037741154412175	0.770331818181818	0.0489933734027161	20.4109235708306	25	0.0143808682141271	"Huttwil"	TRUE
3.63557912119768	"CSat"	0.492828	0.0172946005762177	0.492179090909091	0.0351388364432006	28.4585404988133	26	0.00920175707725781	"Huttwil"	TRUE
3.51845846677564	"APse"	1.02022	0.0610530224402601	1.01220090909091	0.060317098998749	16.5790466816174	27	0.0190488702049396	"Huttwil"	TRUE
3.50445226944713	"FExc"	0.973272	0.0628125313930269	0.97014	0.0647458422423845	15.445007206121	28	0.0181722883320283	"Huttwil"	TRUE
3.4407273141339	"CBet"	1.424879	0.0468572679139921	1.42396818181818	0.0329061200329369	30.389483749499	29	0.0266043942764738	"Huttwil"	TRUE
5.91164313584738	"AVir"	0.195658	0.125134463997733	0.19039	0.657253343125864	1.52148332216014	0	0.00810201403734037	"Schwerin"	TRUE
5.66081750476897	"PMon"	2.128921	0.760231925951787	2.12230818181818	0.358209958602947	2.79165884695137	1	0.0881566193377664	"Schwerin"	TRUE
5.59937170768693	"TBac"	0.351137	0.468808700006536	0.320122727272727	1.46446553170571	0.682842974689387	2	0.0145402534168272	"Schwerin"	TRUE
5.45088151904219	"AAlb"	0.903228	0.187150061452884	0.897907272727273	0.208429163163408	4.79779309585387	3	0.037401823257515	"Schwerin"	TRUE
5.43859590321483	"PCem"	1.286368	0.101139195702125	1.27646454545455	0.0792338463784825	12.6208690566809	4	0.053267290850287	"Schwerin"	TRUE
5.12023310117073	"LDec"	1.387949	0.0939170471504218	1.38422363636364	0.0678481747336308	14.7387900105782	5	0.0574736646654496	"Schwerin"	TRUE
