"site" "simul" "decreasing" "increasing" "random_1" "random_10" "random_11" "random_12" "random_13" "random_14" "random_15" "random_16" "random_17" "random_18" "random_19" "random_2" "random_20" "random_21" "random_22" "random_23" "random_24" "random_25" "random_26" "random_27" "random_28" "random_29" "random_3" "random_30" "random_4" "random_5" "random_6" "random_7" "random_8" "random_9" "int_min" "int_max" "mean"
"Bever" 11 1.224353 1.713136 1.668714 1.630167 1.550766 1.633713 1.630568 1.736597 1.758136 1.486995 1.688618 1.493395 1.453533 1.666915 1.527079 1.526106 1.695794 1.717758 1.762022 1.307727 1.697524 1.488484 1.61905 1.642711 1.555839 1.714828 1.65938 1.627475 1.634156 1.49889 1.698213 1.633607 1.555839 1.668714 1.63366
"Bever" 12 1.221204 1.755459 1.646164 1.69549 1.366998 1.607737 1.581216 1.723167 1.642004 1.494 1.664192 1.547583 1.448215 1.640046 1.474841 1.488815 1.717677 1.744753 1.688462 1.305253 1.748817 1.495393 1.62829 1.599726 1.617521 1.47052 1.655392 1.55253 1.674481 1.495669 1.730682 1.657389 1.547583 1.657389 1.6229055
"Bever" 13 0.999048 1.702943 1.339815 1.645672 1.36175 1.585221 1.601216 1.664201 1.651606 1.554698 1.689789 1.532499 1.437563 1.691472 1.546034 1.525823 1.710079 1.689258 1.762596 1.30595 1.716646 1.488916 1.520917 1.601996 1.617935 1.477747 1.659036 1.670837 1.644978 1.454996 1.68236 1.712247 1.532499 1.664201 1.6099655
"Bever" 14 0.988881 1.70996 1.32669 1.674828 1.379993 1.655828 1.551845 1.596129 1.58124 1.553093 1.684232 1.478523 1.435123 1.63676 1.531685 1.069 1.709522 1.730335 1.694002 1.306409 1.713365 1.480217 1.61105 1.644116 1.602413 1.470155 1.636252 1.652312 1.664788 1.385437 1.671963 1.70281 1.531685 1.655828 1.6067315
"Bever" 15 0.992266 1.740655 1.315817 1.626156 1.370331 1.660418 1.552212 1.622439 1.693712 1.578921 1.705644 1.523301 1.365216 1.624515 1.53703 1.081687 1.700612 1.705121 1.759437 1.302817 1.695353 1.511781 1.7246 1.682824 1.650524 1.487463 1.678508 1.62545 1.654163 1.366109 1.663685 1.737249 1.53703 1.678508 1.625803
"Bever" 16 0.990956 1.691276 1.319868 1.648901 1.32789 1.614099 1.647557 1.639165 1.630642 1.552961 1.673042 1.548711 1.36756 1.648618 1.347662 1.075982 1.717753 1.698608 1.738334 1.276385 1.699335 1.507336 1.64762 1.630956 1.6375 1.465845 1.651425 1.651923 1.63818 1.375869 1.528842 1.704951 1.528842 1.648618 1.634228
"Bever" 17 0.994907 1.681232 1.314395 1.679189 1.33199 1.592761 1.620463 1.585748 1.678679 1.131309 1.689204 1.4551 1.398432 1.638599 1.349331 1.08088 1.655457 1.643822 1.75337 1.219756 1.716709 1.469844 1.631528 1.645447 1.658884 1.361822 1.626147 1.793919 1.440649 1.368694 1.505604 1.736943 1.440649 1.645447 1.606612
"Bever" 18 0.994104 1.693149 1.319405 1.685453 1.319501 1.612646 1.576355 1.646882 1.64575 1.132164 1.744491 1.548953 1.379378 1.637023 1.308451 1.083087 1.631473 1.645997 1.716194 1.231302 1.732475 0.995546 1.634918 1.62078 1.53078 1.367009 1.619265 1.689999 1.453552 1.370125 1.542239 1.716125 1.379378 1.637023 1.5945005
"Bever" 19 0.201751 1.684929 1.306195 1.685939 1.282816 1.638571 1.581468 1.649171 1.647455 1.144446 1.575367 1.555955 1.366776 1.808818 1.299436 1.083793 1.519332 1.642651 1.663025 1.230467 1.767869 0.99532 1.678244 1.679536 1.530366 1.372373 1.634644 1.78491 1.43784 1.375176 1.131937 1.762279 1.372373 1.647455 1.565661
"Bever" 20 0.20345 1.702316 1.301643 1.704508 1.271551 1.613788 1.658766 1.627087 1.607848 1.123023 1.631105 1.576218 1.381671 1.862976 1.291578 0.70132 1.500536 1.714312 1.658859 1.23135 1.723631 0.977613 1.659628 1.598706 1.54203 1.370064 1.643894 1.794842 1.434779 1.382161 1.137547 1.741867 1.381671 1.643894 1.587462
