"SName"	"monoculture.t.ha."	"Id"	"Di"	"monoculture_relative"	"site"	"persists"
"PSyl"	257.59897	5	4.32814443523422	0.0471017997094205	"Bern"	TRUE
"PTre"	77.838398	20	3.96304498896519	0.0142326991148224	"Bern"	TRUE
"QPet"	336.742702	21	3.86628219362894	0.0615731782747931	"Bern"	TRUE
"QPub"	196.441784	22	4.08073778979974	0.0359192490735861	"Bern"	TRUE
"QRob"	305.704759	23	4.54173654409529	0.0558979111160058	"Bern"	TRUE
"SAlb"	160.11253	24	3.90985874801175	0.0292764692305586	"Bern"	TRUE
"SAri"	29.963521	25	4.02463010421773	0.00547880981329628	"Bern"	TRUE
"SAuc"	11.40337	26	3.8505448569429	0.00208509859240669	"Bern"	TRUE
"TBac"	350.243051	6	5.59937170768693	0.064041708077553	"Bern"	TRUE
"TCor"	199.15369	27	3.91611390270515	0.0364151192754071	"Bern"	TRUE
"TPla"	188.027379	28	4.10423678579605	0.0343806807362052	"Bern"	TRUE
"UGla"	144.543584	29	4.13823208797057	0.0264296978471994	"Bern"	TRUE
"AAlb"	0.09857	0	5.45088151904219	0.00010484751581261	"Cottbus"	FALSE
"ACam"	10.34355	7	3.70032665350851	0.0110022879393682	"Cottbus"	TRUE
"AGlu"	0.040979	10	4.08238233777311	4.35887831032258e-05	"Cottbus"	FALSE
"AInc"	0.063217	11	4.20036271601683	6.72430293915572e-05	"Cottbus"	FALSE
"APla"	1.092829	8	3.96011541644128	0.0011624267612659	"Cottbus"	TRUE
"APse"	2.293525	9	3.51845846677564	0.0024395901258407	"Cottbus"	TRUE
"AVir"	0.009351	12	5.91164313584738	9.94652653305996e-06	"Cottbus"	FALSE
"BPen"	0.448425	13	4.66257804432037	0.000476983334465556	"Cottbus"	FALSE
"CAve"	0.383619	16	3.86108071747658	0.000408050108232909	"Cottbus"	FALSE
"CBet"	4.318638	14	3.4407273141339	0.0045936742010139	"Cottbus"	TRUE
"CSat"	154.404339	15	3.63557912119768	0.164237713044924	"Cottbus"	TRUE
"FExc"	0.116283	18	3.50445226944713	0.000123688583557246	"Cottbus"	FALSE
"FSyl"	5.204892	17	3.84390347447605	0.00553637005450877	"Cottbus"	TRUE
"LDec"	28.87902	1	5.12023310117073	0.0307182053982215	"Cottbus"	TRUE
"PAbi"	0.153684	2	4.54005779679717	0.000163471498631888	"Cottbus"	FALSE
"PCem"	33.466145	3	5.43859590321483	0.0355974654263429	"Cottbus"	TRUE
"PMon"	78.310927	4	5.66081750476897	0.0832982262040447	"Cottbus"	TRUE
"PNig"	0.040628	19	4.25789614695819	4.32154293642562e-05	"Cottbus"	FALSE
"PSyl"	199.505719	5	4.32814443523422	0.212211413488472	"Cottbus"	TRUE
"PTre"	8.330601	20	3.96304498896519	0.00886114253906918	"Cottbus"	TRUE
"QPet"	31.172095	21	3.86628219362894	0.0331573168654225	"Cottbus"	TRUE
"QPub"	116.316765	22	4.08073778979974	0.123724498910512	"Cottbus"	TRUE
"QRob"	171.33885	23	4.54173654409529	0.182250713043416	"Cottbus"	TRUE
"SAlb"	0.041498	24	3.90985874801175	4.4140836067685e-05	"Cottbus"	FALSE
"SAri"	8.78265	25	4.02463010421773	0.00934198067111315	"Cottbus"	TRUE
"SAuc"	5.051045	26	3.8505448569429	0.00537272517508073	"Cottbus"	TRUE
"TBac"	0.230254	6	5.59937170768693	0.000244917925392278	"Cottbus"	FALSE
"TCor"	77.442686	27	3.91611390270515	0.0823746905240543	"Cottbus"	TRUE
"TPla"	0.960813	28	4.10423678579605	0.00102200320797871	"Cottbus"	TRUE
"UGla"	1.285589	29	4.13823208797057	0.00136746284879799	"Cottbus"	TRUE
