"site"	"order"	"simul"	"speciesShortName"	"mean_biom_tot"
"GrandeDixence"	"random_2"	5	"PAbi"	37.6135029614091
"GrandeDixence"	"random_2"	5	"PCem"	169.058110126727
"GrandeDixence"	"random_2"	6	"LDec"	24.2180985366136
"GrandeDixence"	"random_2"	6	"PAbi"	41.6585797005227
"GrandeDixence"	"random_2"	6	"PCem"	163.234902108523
"GrandeDixence"	"random_2"	7	"LDec"	39.8806319924545
"GrandeDixence"	"random_2"	7	"PAbi"	36.3895870062727
"GrandeDixence"	"random_2"	7	"PCem"	185.075249135568
"GrandeDixence"	"random_2"	8	"LDec"	118.317593265909
"GrandeDixence"	"random_2"	8	"PAbi"	60.55765343775
"GrandeDixence"	"random_2"	9	"AVir"	0.151461389305556
"GrandeDixence"	"random_2"	9	"LDec"	119.673384089705
"GrandeDixence"	"random_2"	9	"PAbi"	58.7914978859773
"GrandeDixence"	"random_2"	10	"LDec"	129.477500493636
"GrandeDixence"	"random_2"	10	"PAbi"	58.2299600729773
"GrandeDixence"	"random_2"	11	"LDec"	130.655667363364
"GrandeDixence"	"random_2"	11	"PAbi"	60.5933294647273
"GrandeDixence"	"random_2"	12	"AVir"	0.155486098083333
"GrandeDixence"	"random_2"	12	"LDec"	106.829125406136
"GrandeDixence"	"random_2"	12	"PAbi"	61.4986420715455
"GrandeDixence"	"random_2"	13	"LDec"	123.574353927091
"GrandeDixence"	"random_2"	13	"PAbi"	61.7032842442045
"GrandeDixence"	"random_2"	14	"AVir"	0.171138878583333
"GrandeDixence"	"random_2"	14	"LDec"	114.477250212795
"GrandeDixence"	"random_2"	14	"PAbi"	60.7530435817045
"GrandeDixence"	"random_2"	15	"AVir"	0.177040594055556
"GrandeDixence"	"random_2"	15	"LDec"	124.584133324636
"GrandeDixence"	"random_2"	15	"PAbi"	59.2064753410455
"GrandeDixence"	"random_2"	16	"LDec"	115.162485735341
"GrandeDixence"	"random_2"	16	"PAbi"	59.8398130402727
"GrandeDixence"	"random_2"	17	"LDec"	119.071064069295
"GrandeDixence"	"random_2"	17	"PAbi"	59.7422296125909
"GrandeDixence"	"random_2"	18	"LDec"	111.273587954727
"GrandeDixence"	"random_2"	18	"PAbi"	60.5300604248182
"GrandeDixence"	"random_2"	19	"LDec"	290.146537439477
"GrandeDixence"	"random_2"	20	"LDec"	291.364299889
"GrandeDixence"	"random_2"	21	"LDec"	283.92850616975
"GrandeDixence"	"random_2"	22	"LDec"	283.512579150205
"GrandeDixence"	"random_2"	23	"LDec"	294.912449444341
"GrandeDixence"	"random_2"	24	"LDec"	299.667667923318
"GrandeDixence"	"random_2"	24	"LDec"	299.667667923318
"GrandeDixence"	"random_2"	24	"LDec"	299.667667923318
"GrandeDixence"	"random_2"	24	"LDec"	299.667667923318
"GrandeDixence"	"random_2"	24	"LDec"	299.667667923318
"GrandeDixence"	"random_2"	24	"LDec"	299.667667923318
"GrandeDixence"	"random_2"	24	"LDec"	299.667667923318
"GrandeDixence"	"random_3"	1	"LDec"	32.7272550539773
"GrandeDixence"	"random_3"	1	"PAbi"	42.0442510047955
"GrandeDixence"	"random_3"	1	"PCem"	161.823497305
"GrandeDixence"	"random_3"	2	"LDec"	32.7577287398409
"GrandeDixence"	"random_3"	2	"PAbi"	38.6346173029773
"GrandeDixence"	"random_3"	2	"PCem"	172.945080913659
"GrandeDixence"	"random_3"	3	"LDec"	19.8084053596818
"GrandeDixence"	"random_3"	3	"PAbi"	39.8843841830227
"GrandeDixence"	"random_3"	3	"PCem"	179.938734407636
"GrandeDixence"	"random_3"	4	"LDec"	38.4677349570909
"GrandeDixence"	"random_3"	4	"PAbi"	38.8841614374091
"GrandeDixence"	"random_3"	4	"PCem"	165.215890680886
"GrandeDixence"	"random_3"	5	"LDec"	18.2574386133864
"GrandeDixence"	"random_3"	5	"PAbi"	37.0927957472045
"GrandeDixence"	"random_3"	5	"PCem"	193.67952802025
"GrandeDixence"	"random_3"	6	"LDec"	22.9087204462045
"GrandeDixence"	"random_3"	6	"PAbi"	39.5739602918636
"GrandeDixence"	"random_3"	6	"PCem"	169.977184822136
"GrandeDixence"	"random_3"	7	"LDec"	32.37978647975
"GrandeDixence"	"random_3"	7	"PAbi"	37.3911624198636
"GrandeDixence"	"random_3"	7	"PCem"	185.714180329614
"GrandeDixence"	"random_3"	8	"LDec"	68.8926464150909
"GrandeDixence"	"random_3"	8	"PCem"	262.036769169295
"GrandeDixence"	"random_3"	8	"PMon"	0.193432067545455
"GrandeDixence"	"random_3"	9	"LDec"	65.6971427162955
