"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"PCem"	0.000223	"Basel"	"random_1"	5	0.000101310678508961	FALSE
"PMon"	8.1e-05	"Basel"	"random_1"	5	3.67989460054971e-05	FALSE
"PNig"	0.003732	"Basel"	"random_1"	5	0.00169547736410513	FALSE
"PSyl"	0.000925	"Basel"	"random_1"	5	0.00042023487722327	FALSE
"PTre"	0.020594	"Basel"	"random_1"	5	0.0093560184449038	FALSE
"QPet"	0.234118	"Basel"	"random_1"	5	0.106361674579197	TRUE
"QPub"	0.001752	"Basel"	"random_1"	5	0.000795947572859641	FALSE
"QRob"	0.193882	"Basel"	"random_1"	5	0.0880821388819481	TRUE
"SAri"	0.00032	"Basel"	"random_1"	5	0.000145378552120482	FALSE
"SAuc"	0.001051	"Basel"	"random_1"	5	0.00047747768212071	FALSE
"TBac"	0.000974	"Basel"	"random_1"	5	0.000442495968016719	FALSE
"TCor"	0.014873	"Basel"	"random_1"	5	0.0067569225177748	TRUE
"TPla"	0.015517	"Basel"	"random_1"	5	0.00704949685391727	TRUE
"UGla"	0.080214	"Basel"	"random_1"	5	0.0364418599368512	TRUE
"AAlb"	0.012438	"Basel"	"random_1"	6	0.00610809231381196	TRUE
"AInc"	0.001256	"Basel"	"random_1"	6	0.000616800445903507	FALSE
"APla"	0.025639	"Basel"	"random_1"	6	0.0125908810768471	TRUE
"APse"	0.053012	"Basel"	"random_1"	6	0.0260333003489146	TRUE
"AVir"	2e-05	"Basel"	"random_1"	6	9.82166315132973e-06	FALSE
"BPen"	0.007015	"Basel"	"random_1"	6	0.0034449483503289	TRUE
"CBet"	0.090898	"Basel"	"random_1"	6	0.0446384768564785	TRUE
"CSat"	0.511185	"Basel"	"random_1"	6	0.251034343900624	TRUE
"FExc"	0.016358	"Basel"	"random_1"	6	0.00803313829147259	TRUE
"FSyl"	0.706921	"Basel"	"random_1"	6	0.347156996830058	TRUE
"LDec"	0.019953	"Basel"	"random_1"	6	0.00979858224292411	FALSE
"PAbi"	0.017901	"Basel"	"random_1"	6	0.00879087960359768	FALSE
"PCem"	5.6e-05	"Basel"	"random_1"	6	2.75006568237232e-05	FALSE
"PMon"	4.6e-05	"Basel"	"random_1"	6	2.25898252480584e-05	FALSE
"PNig"	0.004383	"Basel"	"random_1"	6	0.00215241747961391	FALSE
"PTre"	0.024076	"Basel"	"random_1"	6	0.0118233181015707	TRUE
"QPet"	0.223789	"Basel"	"random_1"	6	0.109899008748646	TRUE
"QPub"	0.003196	"Basel"	"random_1"	6	0.00156950177158249	FALSE
"QRob"	0.224588	"Basel"	"random_1"	6	0.110291384191542	TRUE
"SAri"	0.000437	"Basel"	"random_1"	6	0.000214603339856555	FALSE
"SAuc"	0.001323	"Basel"	"random_1"	6	0.000649703017460462	FALSE
"TBac"	0.001021	"Basel"	"random_1"	6	0.000501395903875383	FALSE
"TCor"	0.013007	"Basel"	"random_1"	6	0.00638751863046729	TRUE
"TPla"	0.013107	"Basel"	"random_1"	6	0.00643662694622394	TRUE
"UGla"	0.06469	"Basel"	"random_1"	6	0.031768169462976	TRUE
"AAlb"	0.00774	"Basel"	"random_1"	7	0.00369661225068762	TRUE
"AInc"	0.000882	"Basel"	"random_1"	7	0.000421241861124869	FALSE
"APla"	0.027733	"Basel"	"random_1"	7	0.0132452387013333	TRUE
"APse"	0.056139	"Basel"	"random_1"	7	0.0268119011810533	TRUE
"AVir"	0	"Basel"	"random_1"	7	0	FALSE
"BPen"	0.003841	"Basel"	"random_1"	7	0.00183445576936578	FALSE
"CBet"	0.088693	"Basel"	"random_1"	7	0.0423596421641133	TRUE
"CSat"	0.536954	"Basel"	"random_1"	7	0.256448415304357	TRUE
"FExc"	0.016528	"Basel"	"random_1"	7	0.00789374771051228	FALSE
"FSyl"	0.795925	"Basel"	"random_1"	7	0.380132571786634	TRUE
