"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"AVir"	0	"Adelboden"	"random_6"	11	0	FALSE
"BPen"	0.002456	"Adelboden"	"random_6"	11	0.0012177514041824	FALSE
"CAve"	7.7e-05	"Adelboden"	"random_6"	11	3.81786881604417e-05	FALSE
"CBet"	0.091448	"Adelboden"	"random_6"	11	0.0453423983752737	TRUE
"CSat"	0.00041	"Adelboden"	"random_6"	11	0.000203289118776378	FALSE
"PAbi"	1.472282	"Adelboden"	"random_6"	11	0.729997342366642	TRUE
"PCem"	0.001446	"Adelboden"	"random_6"	11	0.000716966014025958	TRUE
"PMon"	5.2e-05	"Adelboden"	"random_6"	11	2.57830101862723e-05	FALSE
"PNig"	0.259256	"Adelboden"	"random_6"	11	0.12854615555485	TRUE
"PSyl"	8.4e-05	"Adelboden"	"random_6"	11	4.16494779932091e-05	FALSE
"QPet"	0.038519	"Adelboden"	"random_6"	11	0.0190987647954812	TRUE
"QRob"	7.4e-05	"Adelboden"	"random_6"	11	3.66912068035414e-05	FALSE
"SAri"	0.000155	"Adelboden"	"random_6"	11	7.68532034398502e-05	FALSE
"SAuc"	0.000445	"Adelboden"	"random_6"	11	0.000220643067940215	FALSE
"TBac"	0.000833	"Adelboden"	"random_6"	11	0.000413023990099324	FALSE
"TPla"	0.000239	"Adelboden"	"random_6"	11	0.000118502681433059	FALSE
"UGla"	0.004239	"Adelboden"	"random_6"	11	0.00210181115730016	FALSE
"AAlb"	0.100177	"Adelboden"	"random_6"	12	0.0509318810177733	TRUE
"APla"	0.004631	"Adelboden"	"random_6"	12	0.00235448796623285	FALSE
"APse"	0.044635	"Adelboden"	"random_6"	12	0.0226932779902404	TRUE
"BPen"	0.007135	"Adelboden"	"random_6"	12	0.00362756891364098	FALSE
"CAve"	9.5e-05	"Adelboden"	"random_6"	12	4.82997963273852e-05	FALSE
"CBet"	0.092584	"Adelboden"	"random_6"	12	0.0470714562439435	TRUE
"CSat"	0.000368	"Adelboden"	"random_6"	12	0.000187098158405029	FALSE
"PAbi"	1.418614	"Adelboden"	"random_6"	12	0.72125018175976	TRUE
"PCem"	0.000153	"Adelboden"	"random_6"	12	7.77880930325256e-05	FALSE
"PMon"	0.000311	"Adelboden"	"random_6"	12	0.000158118280608598	FALSE
